rank,player_id,name,clubs,leagues,nationality,primary_position,total_minutes_top5,total_appearances,peak_market_value_eur,peak_value_pct_in_league,obscurity_score
1,282672,Benito Ramírez,UD Las Palmas,La Liga,Spain,Attack,1012,45,700000.0,0.0915588835942818,0.947437612466425
2,169533,Alejandro Rodríguez,Cesena FC; UC Sampdoria; FC Empoli,Serie A,Spain,Attack,877,32,800000.0,0.1220813875917278,0.935567833335919
3,221986,Héctor Hernández,Real Zaragoza; Real Sociedad; Granada CF; Deportivo Alavés,La Liga,Spain,Defender,1596,32,600000.0,0.0776038121170864,0.9236496443290536
4,33535,Valdet Rama,Real Valladolid CF,La Liga,Albania,Attack,1152,31,1000000.0,0.1501021102791014,0.9133210378837051
5,69653,Garath McCleary,Reading FC,Premier League,Jamaica,Attack,1571,31,1500000.0,0.1087848932676519,0.910481584373926
6,116792,Stefan Lex,FC Ingolstadt 04,Bundesliga,Germany,Attack,1198,34,1000000.0,0.1568785197103781,0.9079948486719427
7,240349,Cristiano Lombardi,Società Sportiva Lazio S.p.A.; Benevento Calcio,Serie A,Italy,Attack,1542,35,800000.0,0.1220813875917278,0.9074670581421206
8,241307,Finn Porath,Hamburger SV,Bundesliga,Germany,Midfield,1971,32,600000.0,0.077634754625905,0.9025585916792955
9,29604,Riccardo Cazzola,Atalanta BC; Cesena FC,Serie A,Italy,Midfield,1245,33,1000000.0,0.1667778519012675,0.901107198080374
10,30802,Óscar Díaz,UD Almería,La Liga,Spain,Attack,1196,30,1200000.0,0.1766507828454731,0.8985932132284262
11,203516,Nuke Mfulu,Stade Reims,Ligue 1,DR Congo,Midfield,1450,45,800000.0,0.1478829389788294,0.8979577553167868
12,79352,Quique González,UD Almería; SD Eibar,La Liga,Spain,Attack,671,30,1500000.0,0.2106875425459496,0.8941717326029942
13,198473,Kevin Mayi,AS Saint-Étienne; GFC Ajaccio; Stade Brestois 29,Ligue 1,Gabon,Attack,1031,32,1000000.0,0.2011207970112079,0.8916876635098999
14,14977,Christoph Janker,Hertha BSC; FC Augsburg,Bundesliga,Germany,Defender,1846,43,800000.0,0.1154465004022526,0.891404656775618
15,176133,Hernán Santana,UD Las Palmas,La Liga,Spain,Midfield,1567,35,1000000.0,0.1501021102791014,0.8912764642402943
16,178019,Abdoulaye Keita,SC Bastia,Ligue 1,Mali,Midfield,1948,40,600000.0,0.1046077210460772,0.8900411007172715
17,238630,Quentin Cornette,Montpellier HSC; Amiens SC,Ligue 1,France,Attack,1146,35,1000000.0,0.2011207970112079,0.8885384387036983
