player_id,season,league,club,minutes_played,appearances,market_value_eur
10,2012,IT1,Società Sportiva Lazio S.p.A.,2186,29,6000000.0
10,2013,IT1,Società Sportiva Lazio S.p.A.,2018,25,1000000.0
10,2014,IT1,Società Sportiva Lazio S.p.A.,1835,34,1000000.0
10,2015,IT1,Società Sportiva Lazio S.p.A.,1360,24,1000000.0
26,2012,L1,Borussia Dortmund,2781,31,5000000.0
26,2013,L1,Borussia Dortmund,2700,30,
26,2014,L1,Borussia Dortmund,2250,25,5000000.0
26,2015,L1,Borussia Dortmund,90,1,2000000.0
26,2016,L1,Borussia Dortmund,630,7,1000000.0
26,2017,L1,Borussia Dortmund,91,2,750000.0
65,2012,GB1,Fulham FC,2849,33,10000000.0
65,2013,FR1,AS Monaco,766,12,5000000.0
65,2013,GB1,Fulham FC,1569,18,5000000.0
65,2014,FR1,AS Monaco,1743,26,3000000.0
77,2012,IT1,Juventus FC,90,1,3000000.0
80,2012,L1,Bayern Munich,270,3,1000000.0
80,2013,L1,Bayern Munich,180,2,
80,2016,L1,Bayern Munich,270,3,200000.0
80,2017,L1,Bayern Munich,180,2,100000.0
123,2012,L1,FC Schalke 04,202,4,1500000.0
132,2012,GB1,Arsenal FC,612,10,2000000.0
132,2013,GB1,Arsenal FC,1572,27,2000000.0
132,2014,GB1,Arsenal FC,576,15,2000000.0
215,2012,ES1,Málaga CF,1606,31,3000000.0
215,2013,ES1,Málaga CF,2137,31,2500000.0
215,2014,ES1,Málaga CF,912,12,2000000.0
215,2015,ES1,Málaga CF,419,17,1500000.0
258,2012,L1,SpVgg Greuther Fürth,1007,17,800000.0
264,2012,L1,VfB Stuttgart,468,13,1000000.0
277,2012,L1,Hannover 96,2452,30,2000000.0
277,2013,ES1,Levante UD,849,18,1500000.0
332,2012,L1,Eintracht Frankfurt,31,6,1000000.0
410,2012,L1,Borussia Dortmund,1495,22,2500000.0
410,2013,L1,Borussia Dortmund,1139,17,2000000.0
410,2014,L1,Borussia Dortmund,1693,21,1000000.0
411,2013,L1,Hertha BSC,1061,15,
447,2012,L1,Eintracht Frankfurt,696,8,500000.0
488,2012,GB1,Swansea City,1109,14,750000.0
488,2013,GB1,Swansea City,1080,12,1000000.0
488,2014,GB1,Swansea City,109,2,1000000.0
532,2012,L1,Bayern Munich,744,20,3000000.0
532,2013,L1,Bayern Munich,682,17,2000000.0
532,2014,L1,Bayern Munich,319,13,1000000.0
532,2015,L1,SV Werder Bremen,1742,28,1000000.0
532,2016,L1,SV Werder Bremen,853,19,1000000.0
532,2017,L1,1.FC Köln,573,16,1000000.0
532,2018,L1,SV Werder Bremen,674,26,500000.0
532,2019,L1,SV Werder Bremen,214,18,500000.0
557,2012,L1,FC Augsburg,450,5,600000.0
568,2012,L1,Borussia Mönchengladbach,2274,26,2500000.0
568,2013,L1,Borussia Mönchengladbach,2673,30,
568,2014,L1,Borussia Mönchengladbach,1546,19,1500000.0
568,2015,L1,Borussia Mönchengladbach,164,4,1500000.0
598,2012,L1,FC Schalke 04,1890,21,1500000.0
598,2013,L1,FC Schalke 04,1080,12,1000000.0
598,2014,L1,Eintracht Frankfurt,270,3,750000.0
670,2012,ES1,RCD Espanyol Barcelona,135,8,600000.0
690,2012,L1,1.FSV Mainz 05,65,3,800000.0
691,2012,L1,Bayer 04 Leverkusen,2311,30,4000000.0
691,2013,L1,Bayer 04 Leverkusen,2191,31,3000000.0
691,2014,L1,Bayer 04 Leverkusen,1232,24,2000000.0
735,2013,IT1,US Livorno 1915,579,10,200000.0
773,2012,FR1,Thonon Évian Grand Genève FC,279,5,900000.0
823,2012,L1,1.FC Nuremberg,2776,33,1500000.0
823,2013,L1,1.FC Nuremberg,1054,14,1000000.0
837,2012,L1,Borussia Mönchengladbach,1998,23,800000.0
837,2013,L1,Borussia Mönchengladbach,28,2,600000.0
886,2012,L1,Fortuna Düsseldorf,1391,16,500000.0
892,2012,L1,1.FSV Mainz 05,270,3,500000.0
892,2013,L1,1.FSV Mainz 05,855,10,200000.0
992,2012,L1,Fortuna Düsseldorf,90,1,350000.0
1073,2012,L1,Bayer 04 Leverkusen,455,11,1500000.0
1073,2013,L1,Borussia Dortmund,795,11,500000.0
1075,2012,L1,Fortuna Düsseldorf,565,10,4200000.0
1094,2012,GB1,West Ham United,149,6,2500000.0
1094,2012,L1,VfL Wolfsburg,646,8,2500000.0
1094,2013,L1,1.FC Nuremberg,1937,23,
1095,2013,L1,Hertha BSC,10,2,500000.0
1116,2012,L1,SpVgg Greuther Fürth,1688,22,500000.0
1126,2014,L1,1.FC Köln,2845,32,750000.0
1126,2015,L1,1.FC Köln,2775,32,750000.0
1126,2016,L1,1.FC Köln,1822,21,750000.0
1126,2017,L1,1.FC Köln,1519,20,750000.0
1139,2012,L1,1.FSV Mainz 05,2880,32,1000000.0
1139,2013,L1,1.FSV Mainz 05,2835,32,
1139,2014,L1,1.FSV Mainz 05,594,9,1000000.0
1144,2012,L1,Borussia Mönchengladbach,13,1,500000.0
1150,2012,L1,1.FC Nuremberg,2745,31,1500000.0
1150,2013,L1,1.FC Nuremberg,2925,33,
1161,2012,IT1,Inter Milan,2860,33,1000000.0
1161,2013,IT1,Inter Milan,459,12,1000000.0
1277,2012,L1,SV Werder Bremen,1589,22,2500000.0
1277,2013,L1,SV Werder Bremen,1819,22,750000.0
1277,2014,L1,SV Werder Bremen,2255,27,750000.0
1277,2015,L1,SV Werder Bremen,2528,29,750000.0
1277,2016,L1,SV Werder Bremen,1298,18,750000.0
1321,2012,L1,FC Schalke 04,2014,25,4500000.0
1321,2013,L1,FC Schalke 04,895,14,3000000.0
1327,2012,FR1,Stade Rennais FC,764,13,5000000.0
1327,2012,GB1,West Ham United,139,3,5000000.0
1327,2013,GB1,West Ham United,113,3,1000000.0
1327,2016,FR1,AS Nancy-Lorraine,1297,18,400000.0
1331,2015,L1,TSG 1899 Hoffenheim,523,14,1250000.0
1335,2012,L1,Hannover 96,1764,20,1500000.0
1335,2013,L1,Hannover 96,83,2,750000.0
1363,2012,L1,1.FSV Mainz 05,2749,31,1000000.0
1363,2013,L1,1.FSV Mainz 05,133,2,500000.0
1368,2012,GB1,West Ham United,2477,31,1000000.0
1368,2013,GB1,West Ham United,2637,32,1500000.0
1368,2014,GB1,West Ham United,259,6,1000000.0
1397,2012,GB1,Stoke City,94,8,1000000.0
1423,2014,FR1,EA Guingamp,2131,25,750000.0
1423,2015,FR1,EA Guingamp,2750,32,500000.0
1426,2012,L1,VfB Stuttgart,330,5,2000000.0
1426,2013,L1,VfB Stuttgart,714,21,1000000.0
1428,2012,L1,Borussia Mönchengladbach,1335,32,3500000.0
1428,2013,L1,SC Freiburg,473,15,1800000.0
1474,2012,L1,TSG 1899 Hoffenheim,900,10,2500000.0
1496,2012,L1,Eintracht Frankfurt,197,3,800000.0
1565,2012,L1,Eintracht Frankfurt,2725,31,3000000.0
1565,2013,L1,Eintracht Frankfurt,1648,22,
1565,2014,L1,Eintracht Frankfurt,2210,26,3000000.0
1565,2015,L1,Eintracht Frankfurt,1658,19,3000000.0
1565,2016,L1,Eintracht Frankfurt,1396,21,2500000.0
1565,2017,L1,Eintracht Frankfurt,3,1,750000.0
1568,2012,L1,Fortuna Düsseldorf,1397,24,1000000.0
1572,2013,FR1,AS Monaco,29,1,750000.0
1573,2012,GB1,Everton FC,350,7,1000000.0
1586,2012,L1,Hannover 96,1599,19,3000000.0
1586,2013,L1,Hannover 96,2151,27,
1586,2014,L1,Hannover 96,2645,31,2000000.0
1586,2015,L1,Hannover 96,2123,25,1500000.0
1587,2012,L1,Hannover 96,1802,22,1500000.0
1613,2013,FR1,EA Guingamp,5,1,400000.0
1659,2013,L1,Eintracht Braunschweig,652,15,500000.0
1662,2012,GB1,Fulham FC,3044,35,3000000.0
1662,2013,GB1,Fulham FC,2648,31,3000000.0
1662,2014,L1,SC Freiburg,1403,19,2500000.0
1662,2015,L1,FC Schalke 04,1330,17,1000000.0
1662,2016,L1,FC Schalke 04,284,5,750000.0
1662,2018,L1,FC Schalke 04,1,1,300000.0
1667,2012,L1,VfL Wolfsburg,3060,34,5750000.0
1667,2013,L1,VfL Wolfsburg,2565,29,6000000.0
1667,2014,L1,VfL Wolfsburg,2790,31,6000000.0
1667,2015,L1,VfL Wolfsburg,1890,21,6000000.0
1667,2016,L1,VfL Wolfsburg,1260,14,3500000.0
1667,2017,FR1,AS Monaco,225,3,1000000.0
1667,2018,FR1,AS Monaco,2057,23,1000000.0
1684,2012,L1,SpVgg Greuther Fürth,1196,18,400000.0
1726,2012,L1,Hamburger SV,3034,34,5000000.0
1726,2013,L1,Hamburger SV,2613,30,3000000.0
1726,2014,L1,Hamburger SV,2307,28,1750000.0
1726,2015,ES1,Real Betis Balompié,1634,20,1500000.0
1772,2012,L1,Fortuna Düsseldorf,288,10,500000.0
1784,2012,L1,Hamburger SV,2880,32,10000000.0
1784,2013,L1,Hamburger SV,2700,30,9000000.0
1784,2014,L1,Hamburger SV,1058,12,6000000.0
1784,2015,L1,Hamburger SV,2072,24,3000000.0
1784,2016,L1,Hamburger SV,1710,19,3500000.0
1784,2017,L1,1.FSV Mainz 05,1260,14,1750000.0
1791,2013,L1,FC Augsburg,2715,34,2000000.0
1791,2014,L1,FC Augsburg,2472,31,2000000.0
1791,2015,L1,FC Augsburg,1205,19,2000000.0
1791,2016,L1,FC Augsburg,1603,31,1000000.0
1792,2016,L1,SV Darmstadt 98,1361,16,600000.0
1944,2013,L1,Eintracht Braunschweig,1801,23,
1986,2012,L1,1.FC Nuremberg,1529,23,1500000.0
1986,2013,L1,1.FC Nuremberg,1758,25,
1986,2014,L1,FC Augsburg,1972,25,1000000.0
1986,2015,L1,FC Augsburg,1080,19,1000000.0
1986,2016,L1,FC Augsburg,17,1,500000.0
2050,2012,ES1,Valencia CF,763,28,5000000.0
2050,2014,L1,Eintracht Frankfurt,516,10,2000000.0
2150,2012,L1,Borussia Dortmund,184,4,1000000.0
2150,2013,L1,Borussia Dortmund,461,8,
2150,2014,L1,Borussia Dortmund,433,6,750000.0
2201,2014,L1,SC Paderborn 07,3060,34,1000000.0
2219,2012,L1,Bayern Munich,2502,29,30000000.0
2219,2013,L1,Bayern Munich,2336,28,
2219,2014,L1,Bayern Munich,1407,20,30000000.0
2219,2015,L1,Bayern Munich,2200,26,22000000.0
2219,2016,L1,Bayern Munich,2090,26,13000000.0
2233,2012,ES1,Levante UD,1772,21,2500000.0
2233,2013,ES1,Levante UD,360,5,800000.0
2334,2013,L1,Hertha BSC,1356,17,750000.0
2334,2014,L1,Hertha BSC,1106,16,500000.0
2358,2012,L1,TSG 1899 Hoffenheim,758,12,1500000.0
2358,2013,L1,VfL Wolfsburg,1300,17,2000000.0
2386,2013,L1,Eintracht Braunschweig,450,5,
2421,2012,L1,Bayer 04 Leverkusen,180,2,1750000.0
2421,2018,L1,Fortuna Düsseldorf,2880,32,500000.0
2453,2014,L1,SC Paderborn 07,303,11,600000.0
2514,2012,L1,Bayern Munich,2358,28,40000000.0
2514,2013,L1,Bayern Munich,1831,23,
2514,2014,L1,Bayern Munich,1362,20,35000000.0
2514,2015,GB1,Manchester United,1201,18,22000000.0
2623,2012,ES1,Sevilla FC,437,6,4500000.0
2623,2013,ES1,Sevilla FC,841,18,3000000.0
2623,2015,L1,FC Augsburg,150,6,750000.0
2712,2012,L1,Fortuna Düsseldorf,417,11,1000000.0
2767,2012,L1,VfL Wolfsburg,615,15,1000000.0
2767,2013,L1,Eintracht Frankfurt,1263,16,
2767,2014,L1,Eintracht Frankfurt,1346,22,1000000.0
2805,2012,L1,Hannover 96,1051,18,2000000.0
2805,2013,L1,Hannover 96,571,8,1000000.0
2805,2014,L1,Hannover 96,433,8,1000000.0
2857,2013,GB1,Hull City,90,1,500000.0
2857,2014,GB1,Hull City,227,3,500000.0
2857,2016,GB1,Hull City,1980,22,1000000.0
2857,2017,GB1,Leicester City,180,2,1000000.0
2865,2012,IT1,Juventus FC,2070,28,17000000.0
2865,2013,IT1,Juventus FC,2117,27,17000000.0
2865,2014,IT1,Juventus FC,2451,32,15000000.0
2865,2015,IT1,Juventus FC,1834,26,11000000.0
2865,2016,IT1,Juventus FC,1869,26,5000000.0
2865,2017,IT1,Juventus FC,1714,27,2000000.0
2865,2018,GB1,Arsenal FC,940,14,1500000.0
2865,2019,L1,FC Augsburg,1346,20,1000000.0
2874,2012,GB1,Fulham FC,877,23,3000000.0
2874,2013,GB1,West Ham United,65,3,2000000.0
2878,2012,FR1,FC Sochaux-Montbéliard,544,12,1250000.0
2904,2015,IT1,Hellas Verona,759,9,500000.0
2923,2012,L1,1.FSV Mainz 05,2295,31,3500000.0
2923,2013,ES1,Levante UD,1707,29,3000000.0
2923,2014,ES1,Levante UD,1333,20,3500000.0
2926,2012,IT1,Bologna Football Club 1909,1940,27,1900000.0
2926,2013,IT1,Bologna Football Club 1909,2772,34,1700000.0
2926,2015,L1,SV Darmstadt 98,1795,21,750000.0
2950,2012,L1,Fortuna Düsseldorf,10,1,600000.0
2953,2012,GB1,Wigan Athletic,1260,14,1500000.0
2953,2012,L1,Hamburger SV,47,4,1500000.0
