player_id,name,birth_year,nationality,primary_position
10,Miroslav Klose,1978.0,Germany,Attack
26,Roman Weidenfeller,1980.0,Germany,Goalkeeper
65,Dimitar Berbatov,1981.0,Bulgaria,Attack
77,Lúcio,1978.0,Brazil,Defender
80,Tom Starke,1981.0,Germany,Goalkeeper
123,Christoph Metzelder,1980.0,Germany,Defender
132,Tomas Rosicky,1980.0,Czech Republic,Midfield
215,Roque Santa Cruz,1981.0,Paraguay,Attack
258,Gerald Asamoah,1978.0,Germany,Attack
264,Tamás Hajnal,1981.0,Hungary,Midfield
277,Sérgio da Silva Pinto,1980.0,Germany,Midfield
332,Benjamin Köhler,1980.0,Germany,Midfield
410,Sebastian Kehl,1980.0,Germany,Midfield
411,Levan Kobiashvili,1977.0,Georgia,Midfield
447,Oka Nikolov,1974.0,North Macedonia,Goalkeeper
488,Gerhard Tremmel,1978.0,Germany,Goalkeeper
532,Claudio Pizarro,1978.0,Peru,Attack
557,Simon Jentzsch,1976.0,Germany,Goalkeeper
568,Martin Stranzl,1980.0,Austria,Defender
598,Timo Hildebrand,1979.0,Germany,Goalkeeper
670,Martin Petrov,1979.0,Bulgaria,Attack
690,Ivan Klasnic,1980.0,Croatia,Attack
691,Simon Rolfes,1982.0,Germany,Midfield
735,Giuseppe Gemiti,1981.0,Germany,Defender
773,David Jarolim,1979.0,Czech Republic,Midfield
823,Hanno Balitsch,1981.0,Germany,Midfield
837,Thorben Marx,,Germany,Midfield
886,Jens Langeneke,1977.0,Germany,Defender
892,Heinz Müller,1978.0,Germany,Goalkeeper
992,Christian Weber,1983.0,Germany,Defender
1073,Manuel Friedrich,1979.0,Germany,Defender
1075,Andriy Voronin,1979.0,Ukraine,Attack
1094,Emanuel Pogatetz,1983.0,Austria,Defender
1095,Peer Kluge,1980.0,Germany,Midfield
1116,Thomas Kleine,1977.0,Germany,Defender
1126,Matthias Lehmann,1983.0,Germany,Midfield
1139,Nikolce Noveski,1979.0,North Macedonia,Defender
1144,Christofer Heimeroth,1981.0,Germany,Goalkeeper
1150,Raphael Schäfer,1979.0,Germany,Goalkeeper
1161,Javier Zanetti,1973.0,Argentina,Defender
1277,Clemens Fritz,1980.0,Germany,Defender
1321,Jermaine Jones,1981.0,United States,Midfield
1327,Alou Diarra,1981.0,France,Midfield
1331,Kevin Kuranyi,1982.0,Germany,Attack
1335,Steven Cherundolo,1979.0,United States,Defender
1363,Christian Wetklo,1980.0,Germany,Goalkeeper
1368,Guy Demel,1981.0,Cote d'Ivoire,Defender
1397,Michael Owen,1979.0,England,Attack
1423,Lars Jacobsen,1979.0,Denmark,Defender
1426,Cacau,1981.0,Germany,Attack
1428,Mike Hanke,1983.0,Germany,Attack
1474,Tim Wiese,1981.0,Germany,Goalkeeper
1496,Heiko Butscher,1980.0,Germany,Defender
1565,Alexander Meier,1983.0,Germany,Attack
1568,Stefan Reisinger,1981.0,Germany,Attack
1572,Andreas Wolf,1982.0,Germany,Defender
1573,Thomas Hitzlsperger,1982.0,Germany,Midfield
1586,Christian Schulz,1983.0,Germany,Defender
1587,Mario Eggimann,,Switzerland,Defender
1613,Vivian,1982.0,Brazil,Defender
1659,Dennis Kruppke,1980.0,Germany,Attack
1662,Sascha Riether,1983.0,Germany,Defender
1667,Diego Benaglio,1983.0,Switzerland,Goalkeeper
1684,Milorad Pekovic,1977.0,Montenegro,Midfield
1726,Heiko Westermann,1983.0,Germany,Defender
1772,Du-ri Cha,1980.0,"Korea, South",Defender
1784,René Adler,1985.0,Germany,Goalkeeper
1791,Halil Altintop,1982.0,Turkey,Midfield
1792,Hamit Altintop,1982.0,Turkey,Midfield
1944,Deniz Dogan,,Turkey,Defender
1986,Markus Feulner,1982.0,Germany,Midfield
2050,Nelson Valdez,1983.0,Paraguay,Attack
2150,Oliver Kirch,1982.0,Germany,Midfield
2201,Lukas Kruse,1983.0,Germany,Goalkeeper
2219,Philipp Lahm,1983.0,Germany,Defender
2233,Christian Lell,1984.0,Germany,Defender
2334,Marcel Ndjeng,1982.0,Cameroon,Midfield
2358,Patrick Ochs,1984.0,Germany,Defender
2386,Marjan Petkovic,1979.0,Germany,Goalkeeper
2421,Michael Rensing,1984.0,Germany,Goalkeeper
2453,Mahir Saglik,1983.0,Turkey,Attack
2514,Bastian Schweinsteiger,1984.0,Germany,Midfield
2623,Piotr Trochowski,1984.0,Germany,Midfield
2712,Nando Rafael,1984.0,Angola,Attack
2767,Alexander Madlung,1982.0,Germany,Defender
2805,Christian Pander,1983.0,Germany,Defender
2857,Eldin Jakupovic,1984.0,Switzerland,Goalkeeper
2865,Stephan Lichtsteiner,1984.0,Switzerland,Defender
2874,Mladen Petric,1981.0,Croatia,Attack
2878,Yassin Mikari,1983.0,Tunisia,Defender
2904,Rafa Márquez,1979.0,Mexico,Defender
2923,Andreas Ivanschitz,1983.0,Austria,Midfield
2926,György Garics,1984.0,Austria,Defender
2950,Robert Almer,,Austria,Goalkeeper
2953,Paul Scharner,1980.0,Austria,Midfield
2963,Martín Demichelis,1980.0,Argentina,Defender
2998,Robert Huth,1984.0,Germany,Defender
3109,Steven Gerrard,1980.0,England,Midfield
3114,Jan Schlaudraff,1983.0,Germany,Attack
3115,David Bellion,1982.0,France,Attack
3118,Kieron Dyer,1978.0,England,Midfield
3130,Titus Bramble,1981.0,England,Defender
3131,Kevin Phillips,1973.0,England,Attack
3139,David Beckham,1975.0,England,Midfield
3146,Shay Given,1976.0,Ireland,Goalkeeper
3156,William Gallas,1977.0,France,Defender
3159,Valerio Di Cesare,1983.0,Italy,Defender
3160,John Terry,1980.0,England,Defender
3163,Frank Lampard,1978.0,England,Midfield
3165,Cris,1977.0,Brazil,Defender
3172,Quique de Lucas,1978.0,Spain,Midfield
3179,Carlton Cole,1983.0,England,Attack
3182,Ashley Cole,1980.0,England,Defender
3190,Stuart Taylor,1980.0,England,Goalkeeper
3195,Jermaine Pennant,1983.0,England,Attack
3202,Kolo Touré,1981.0,Cote d'Ivoire,Defender
3220,John Arne Riise,1980.0,Norway,Defender
3226,Nicolas Anelka,1979.0,France,Attack
3235,Rio Ferdinand,1978.0,England,Defender
3256,Roberto Hilbert,1984.0,Germany,Defender
3259,Damien Duff,1979.0,Ireland,Midfield
3266,Jérémie Aliadière,1983.0,France,Attack
3270,Joseph Yobo,1980.0,Nigeria,Defender
3273,Matthew Upson,1979.0,England,Defender
3276,Shola Ameobi,1981.0,Nigeria,Attack
3291,Gareth Barry,1981.0,England,Midfield
3292,Joey Barton,1982.0,England,Midfield
3296,Paul Konchesky,1981.0,England,Defender
3297,Craig Bellamy,1979.0,Wales,Attack
3306,Jonathan Walters,1983.0,Ireland,Attack
3332,Wayne Rooney,1985.0,England,Attack
3333,James Milner,1986.0,England,Midfield
3356,Sylvain Distin,1977.0,France,Defender
3357,Mark Schwarzer,1972.0,Australia,Goalkeeper
3366,Kaká,1982.0,Brazil,Midfield
3397,Paul Scholes,1974.0,England,Midfield
3404,Phil Neville,1977.0,England,Defender
3405,Wes Brown,1979.0,England,Defender
3406,Ryan Giggs,1973.0,Wales,Midfield
3417,Nicolás Burdisso,1981.0,Argentina,Defender
3428,Dejan Stankovic,1978.0,Serbia,Midfield
3441,Timmy Simons,1976.0,Belgium,Midfield
3455,Zlatan Ibrahimović,1981.0,Sweden,Attack
3461,Jermaine Jenas,1983.0,England,Midfield
3467,Shaun Wright-Phillips,1981.0,England,Attack
3473,Thomas Sörensen,1976.0,Denmark,Goalkeeper
3476,Brad Friedel,1971.0,United States,Goalkeeper
3495,Dudu Aouate,1977.0,Israel,Goalkeeper
3507,Christian Abbiati,1977.0,Italy,Goalkeeper
3525,Sylvain Armand,1980.0,France,Defender
3530,Jan Polak,1981.0,Czech Republic,Midfield
3535,Ricardo,1971.0,Spain,Goalkeeper
3540,John O'Shea,1981.0,Ireland,Defender
3547,Darren Fletcher,1984.0,Scotland,Midfield
3548,Kieran Richardson,1984.0,England,Defender
3560,Jerome Thomas,1983.0,England,Attack
3562,Steve Harper,1975.0,England,Goalkeeper
3569,Steed Malbranque,1980.0,France,Midfield
3575,Mickaël Landreau,1979.0,France,Goalkeeper
3580,Aaron Hughes,1979.0,Northern Ireland,Defender
3597,Jamie Carragher,1978.0,England,Defender
3614,Tony Hibbert,1981.0,England,Defender
3620,Leon Osman,1981.0,England,Midfield
3630,Paul Robinson,1979.0,England,Goalkeeper
3634,Ian Harte,1977.0,Ireland,Defender
3640,Mark Hudson,1982.0,England,Defender
3666,Jason Roberts,1978.0,Grenada,Attack
3692,Jussi Jääskeläinen,1975.0,Finland,Goalkeeper
3698,Anton Ferdinand,1985.0,England,Defender
